doc_id,item,category,amount,price,discount
f4c741e70f06,Нож кухонный,Кухонная утварь,3,4479,0.0
c0d97002fa9c,Разделочная доска,Кухонная утварь,4,1955,1516.82
c0d97002fa9c,Ariel,Бытовая химия,1,6037,1107.28
180bd20563ab,Контейнер для еды,Кухонная утварь,5,1411,881.47
180bd20563ab,Нож кухонный,Кухонная утварь,3,10270,0.0
180bd20563ab,Fairy,Бытовая химия,4,1186,0.0
47848f01fe8d,Кружка,Посуда,4,3939,2570.71
47848f01fe8d,Постельное белье,Текстиль,2,31973,8811.44
47848f01fe8d,Ведро,Хозтовары,4,3173,0.0
47848f01fe8d,Шторы,Текстиль,1,33214,0.0
47848f01fe8d,Шторы,Текстиль,3,43374,0.0
47848f01fe8d,Ariel,Бытовая химия,4,6618,0.0
47848f01fe8d,Разделочная доска,Кухонная утварь,5,2530,0.0
ab9a3d796172,Кастрюля,Посуда,3,14410,0.0
ab9a3d796172,Ведро,Хозтовары,2,4974,0.0
ab9a3d796172,Постельное белье,Текстиль,4,17932,0.0
adf1b9d75f59,Разделочная доска,Кухонная утварь,4,3898,1756.82
d8d7c684e9cb,Сковорода,Посуда,2,10092,2346.45
d8d7c684e9cb,Fairy,Бытовая химия,1,903,0.0
d8d7c684e9cb,Плед,Текстиль,5,10315,8419.69
d8d7c684e9cb,Набор тарелок,Посуда,3,12141,0.0
d8d7c684e9cb,Губка для посуды,Хозтовары,4,872,330.61
d8d7c684e9cb,Ariel,Бытовая химия,2,3767,585.44
eac4d8c5ac5e,Fairy,Бытовая химия,5,1098,1094.37
eac4d8c5ac5e,Постельное белье,Текстиль,1,14162,0.0
eac4d8c5ac5e,Губка для посуды,Хозтовары,4,609,0.0
eac4d8c5ac5e,Полотенце,Текстиль,2,5103,1408.02
e26a8d664d48,Нож кухонный,Кухонная утварь,3,8561,0.0
e26a8d664d48,Нож кухонный,Кухонная утварь,5,7652,0.0
ee7863aa6677,Сковорода,Посуда,4,13434,0.0
ee7863aa6677,Нож кухонный,Кухонная утварь,5,3080,0.0
ee7863aa6677,Ariel,Бытовая химия,3,3752,0.0
ee7863aa6677,Сковорода,Посуда,4,11459,5857.17
ee7863aa6677,Нож кухонный,Кухонная утварь,3,3663,0.0
5e24ce28c5b4,Постельное белье,Текстиль,4,31929,0.0
5e24ce28c5b4,Полотенце,Текстиль,3,4978,0.0
a88cf5d857f6,Губка для посуды,Хозтовары,5,696,0.0
